Date,Palladium spot price
02/1999,33022.32710110728
03/1999,34932.26523574689
04/1999,28856.417192738794
05/1999,33508.458726515346
06/1999,32217.521698544166
07/1999,32665.78111537902
08/1999,33431.77792813658
09/1999,36642.39204042299
10/1999,39170.53215819121
11/1999,40448.94438476691
12/1999,45813.463197496654
01/2000,51241.476779215525
02/2000,77044.639070581
03/2000,62175.34027436676
04/2000,68458.8572315595
05/2000,63289.059406440894
06/2000,69206.65586216026
07/2000,92185.40988745468
08/2000,83336.19321268098
09/2000,84203.74352148455
10/2000,93350.18973607544
11/2000,96806.46596353645
12/2000,106276.0302566858
01/2001,117121.51688477956
02/2001,94041.04930056488
03/2001,86616.49944258641
04/2001,79647.18071973593
05/2001,78843.73488147074
06/2001,73587.48588937268
07/2001,54108.23607511215
08/2001,51274.43569024701
09/2001,40868.38580322317
10/2001,36685.02354633742
11/2001,40424.10375518939
12/2001,51752.607114005055
01/2002,44406.04871309977
02/2002,45172.940828934356
03/2002,45864.32162773292
04/2002,41426.424374914604
05/2002,38428.705274342865
06/2002,33357.65053659791
07/2002,34118.28123266333
08/2002,34788.14144938421
09/2002,33431.32053882561
10/2002,32682.152487505286
11/2002,27358.14178546122
12/2002,23030.744617471042
01/2003,24534.466191270927
02/2003,23458.153586144683
03/2003,17125.710452924774
04/2003,14341.344378178446
05/2003,16045.877091385468
06/2003,16237.685673233063
07/2003,16302.478617375244
08/2003,19115.137833907855
09/2003,18592.98576085394
10/2003,18105.832292719235
11/2003,16247.896027785971
12/2003,15840.076875706332
01/2004,19251.750259502198
02/2004,19115.565631912872
03/2004,24167.673513223253
04/2004,21864.774549130452
05/2004,20904.982321608
06/2004,18505.809926624406
07/2004,18598.017980026452
08/2004,18294.874970624292
09/2004,18127.014236289768
10/2004,17334.678093098442
11/2004,16373.226873414918
12/2004,14002.712001390515
01/2005,15029.830928565108
02/2005,14230.80469018464
03/2005,15871.750040216562
04/2005,15680.320639802001
05/2005,15551.660154693162
06/2005,15687.59171140911
07/2005,16457.751570626788
08/2005,15466.287733872583
09/2005,16699.614028961318
10/2005,19571.149598596992
11/2005,22723.931406062427
12/2005,22230.655483177314
01/2006,24806.778924620154
02/2006,24965.23976608187
03/2006,28432.3328870586
04/2006,29930.796295955428
05/2006,28597.010008262732
06/2006,25439.57628674061
07/2006,25128.995092181434
08/2006,27505.57840122855
09/2006,25791.712237209867
10/2006,25800.22511969582
11/2006,25678.94327894328
12/2006,25501.31417557386
01/2007,26486.674082783393
02/2007,27148.36833071638
03/2007,27377.79215328397
04/2007,28266.933034297974
05/2007,28278.1014751579
06/2007,28015.708015708016
07/2007,27602.840647270506
08/2007,24959.634795461137
09/2007,25130.459575766017
10/2007,26547.729129580028
11/2007,24508.287894237357
12/2007,25701.524132337257
01/2008,27047.31030756585
02/2008,38819.68218224565
03/2008,29172.693680662313
04/2008,28015.708015708016
05/2008,28741.934132700193
06/2008,30708.15902077004
07/2008,25365.064191532714
08/2008,21245.166024263413
09/2008,14422.12529676698
10/2008,16088.663237679464
11/2008,15230.66580974965
12/2008,13667.64745079037
01/2009,15852.833530736152
02/2009,15986.502161763156
03/2009,16746.69050683478
04/2009,17022.576335570688
05/2009,17352.33099681958
06/2009,18261.547895055748
07/2009,18769.61283949543
08/2009,20990.188187497606
09/2009,20812.324782822634
10/2009,22692.723492723493
11/2009,24874.36073803644
12/2009,28925.839304848047
01/2010,31098.92033277398
02/2010,32846.71440898412
03/2010,36836.738123183706
04/2010,42973.55016994522
05/2010,39670.89815468788
06/2010,37675.4309897493
07/2010,38748.46812519518
08/2010,40384.157027690155
09/2010,43520.00480957105
10/2010,47875.58387904784
11/2010,55983.99753808278
12/2010,61363.248502898256
01/2011,61019.898075112804
02/2011,59194.67582038062
03/2011,55889.43454502685
04/2011,54200.779928909134
05/2011,55990.51718759749
06/2011,54579.55376726566
07/2011,59897.81949389243
08/2011,56169.07106734096
09/2011,47134.774102114694
10/2011,48345.65540800811
11/2011,47896.88045016708
12/2011,50951.823249527864
01/2012,54440.96751929174
02/2012,55672.96168501256
03/2012,50525.18411008977
04/2012,53264.615746831594
05/2012,51064.34823116272
06/2012,47588.8746325601
07/2012,49871.33565446819
08/2012,51208.475574505224
09/2012,51468.300711920216
10/2012,48346.66398277573
11/2012,54678.74015540734
12/2012,54916.64820450633
01/2013,56533.83795376416
02/2013,58741.443389169806
03/2013,62332.488978330446
04/2013,55429.181181935164
05/2013,59296.97141753117
06/2013,50957.317232546586
07/2013,57236.46079804272
08/2013,56939.51869395769
09/2013,55724.39457370965
10/2013,56384.66738972567
11/2013,55138.10787780372
12/2013,53441.319031921594
01/2014,54221.87821714309
02/2014,55982.73891620739
03/2014,58490.00369452936
04/2014,60099.25637940078
05/2014,63686.476103614346
06/2014,64055.830276360386
07/2014,68180.8395987333
08/2014,70583.0993729083
09/2014,63844.10930226714
10/2014,64889.78426378618
11/2014,67178.89834448355
12/2014,68132.09742787207
01/2015,71061.51502436333
02/2015,74515.80132007178
03/2015,70235.86693072705
04/2015,72001.49372596989
05/2015,73987.51840684384
06/2015,62719.230501874175
07/2015,57656.10740535515
08/2015,52961.30411422432
09/2015,61160.418721786205
10/2015,63698.417907367715
11/2015,52715.82226681952
12/2015,52081.37361347613
01/2016,47557.434018972475
02/2016,47030.77802269573
03/2016,51806.297835283345
04/2016,57087.87086319314
05/2016,50184.13539123599
06/2016,54994.264527681924
07/2016,65946.45064185243
08/2016,62761.02465825786
09/2016,67055.96487157278
10/2016,57956.12025467681
11/2016,75051.012822522
12/2016,66476.50971339428
01/2017,72864.28494796695
02/2017,76396.14178823389
03/2017,77372.72424205359
04/2017,78146.65196549917
05/2017,75196.2475730411
06/2017,76390.18457104683
07/2017,79023.07408063357
08/2017,81962.23414828065
09/2017,82094.14016630685
10/2017,87020.09185941135
11/2017,88357.4148491019
12/2017,91272.38752520167
01/2018,87456.59770465101
02/2018,88347.88158187535
03/2018,81607.31764335369
04/2018,82641.58393142582
05/2018,87363.79689110693
06/2018,84736.82281196436
07/2018,81965.5206567272
08/2018,87100.93480842773
09/2018,97963.01218554155
10/2018,99097.08912359558
11/2018,109963.9353711015
12/2018,114340.79050498265
01/2019,124519.67716591673
02/2019,140196.33562730972
03/2019,128246.36076972526
04/2019,126223.02678997279
05/2019,127353.26332313151
06/2019,138818.07940155923
07/2019,142505.51290099314
08/2019,144835.8286633024
09/2019,159356.86684515778
10/2019,166722.8497997729
11/2019,172920.84794543363
12/2019,177161.82102865385
01/2020,215250.9813747599
02/2020,256760.88854006323
03/2020,218272.4370676178
04/2020,189283.76759932484
05/2020,178720.89596227527
06/2020,176342.84510512408
07/2020,180666.79363100702
08/2020,188911.28004695845
09/2020,206731.90075308285
10/2020,197427.15900007746
11/2020,207662.34322160867
12/2020,200203.52342086512
01/2021,198757.78217241634
02/2021,201996.9298180667
03/2021,232070.417145044
04/2021,255756.37700782547
05/2021,239328.6804990764
06/2021,236117.91477156678
07/2021,231707.41068983442
08/2021,218282.94252833718
09/2021,170003.25522995877
10/2021,175537.83766922454
11/2021,161193.25656595745
12/2021,176454.93086778626
01/2022,227181.87752250143
02/2022,232233.4335406932
03/2022,210939.277819739
04/2022,227379.1011855528
05/2022,196614.6729630348
06/2022,188414.87427989792
07/2022,212744.1110457388
08/2022,215608.8888888889
09/2022,235431.96237492503
10/2022,192280.89777212235
11/2022,190612.65642607198
12/2022,173767.78356339582
01/2023,154822.1523186907
02/2023,137930.99451636034
03/2023,142023.53865802145
04/2023,141313.3641091022
05/2023,134872.9629549624
06/2023,119627.53731942025
07/2023,119804.4492828127
08/2023,116839.52574640834
09/2023,126123.57583473311
10/2023,110891.44357437041
11/2023,97200.23113125301
12/2023,104971.43520129946
01/2024,92973.78638709265
02/2024,91153.26982683348
03/2024,97512.07815401694
04/2024,91104.63586298631
05/2024,90648.31879428268
06/2024,94120.21700858694
07/2024,88360.2183639125
08/2024,91625.28841432063
09/2024,92399.78869132139
