Date,World Alternative Energy CW
02/2017,23350.93789837917
03/2017,23314.514660353307
04/2017,23054.999089419052
05/2017,23628.665088326354
06/2017,22820.06920415225
07/2017,23414.678564924423
08/2017,23156.073574940812
09/2017,24194.135858677837
10/2017,24510.10744855218
11/2017,24997.268257148062
12/2017,24645.784010198513
01/2018,24498.269896193775
02/2018,23615.916955017303
03/2018,23696.048078674197
04/2018,23645.966126388637
05/2018,25185.758513931887
06/2018,24182.298306319433
07/2018,24672.19085776726
08/2018,25447.09524676744
09/2018,24783.28173374613
10/2018,22924.786013476598
11/2018,23923.693316335823
12/2018,22907.484975414314
01/2019,25005.46348570388
02/2019,26533.41832088873
03/2019,26722.819158623206
04/2019,28869.96904024768
05/2019,27394.82790020033
06/2019,29506.465124749593
07/2019,30267.710799490076
08/2019,29702.240029138593
09/2019,30672.008741577123
10/2019,31109.9981788381
11/2019,32464.942633400107
12/2019,33949.18958295393
01/2020,35248.5885995265
02/2020,34621.198324531055
03/2020,30318.70333272628
04/2020,32250.045529047533
05/2020,35001.821161901295
06/2020,36074.48552176289
07/2020,38502.09433618649
08/2020,40400.655618284465
09/2020,41368.60316882171
10/2020,42417.5924239665
11/2020,47796.39409943544
12/2020,50429.79420870516
01/2021,52274.631214714995
02/2021,48591.331269349845
03/2021,50755.78218903661
04/2021,48822.61883081406
05/2021,48109.63394645784
06/2021,50582.771808413774
07/2021,51457.84010198507
08/2021,53920.96157348389
09/2021,50655.61828446549
10/2021,57024.2214532872
11/2021,56547.07703514843
12/2021,54836.09542888363
01/2022,47489.52831906757
02/2022,49941.722819158625
03/2022,52151.70278637771
04/2022,47315.60735749408
05/2022,47290.11109087598
06/2022,42998.54307047897
07/2022,52738.11691859407
08/2022,51757.42123474777
09/2022,47676.1974139501
10/2022,48574.94081223821
11/2022,52492.26006191951
12/2022,47517.75632853761
