Date,Palladium spot price (EUR Hedged)
12/2002,19914.529914529914
01/2003,21880.34188034188
02/2003,20854.700854700855
03/2003,15384.615384615385
04/2003,13162.393162393162
05/2003,15641.02564102564
06/2003,15299.145299145299
07/2003,15213.675213675213
08/2003,17222.222222222223
09/2003,17863.247863247863
10/2003,17350.42735042735
11/2003,16068.376068376068
12/2003,16495.726495726496
01/2004,19658.119658119656
02/2004,19572.649572649574
03/2004,24358.97435897436
04/2004,21538.46153846154
05/2004,21025.641025641027
06/2004,18547.008547008547
07/2004,18461.53846153846
08/2004,18269.23076923077
09/2004,18547.008547008547
10/2004,18205.128205128207
11/2004,17948.71794871795
12/2004,15726.495726495727
01/2005,16153.846153846154
02/2005,15555.555555555555
03/2005,16965.811965811965
04/2005,16752.136752136754
05/2005,15811.965811965812
06/2005,15641.02564102564
07/2005,16410.25641025641
08/2005,15555.555555555555
09/2005,16581.196581196582
10/2005,19401.709401709402
11/2005,22051.28205128205
12/2005,21623.931623931625
01/2006,24786.324786324785
02/2006,24444.444444444445
03/2006,28376.068376068375
04/2006,30940.17094017094
05/2006,30341.880341880344
06/2006,26666.666666666668
07/2006,26452.991452991453
08/2006,29145.299145299145
09/2006,26923.076923076922
10/2006,27008.547008547008
11/2006,27948.71794871795
12/2006,27692.30769230769
01/2007,28290.59829059829
02/2007,29572.649572649574
03/2007,30064.102564102563
04/2007,31709.40170940171
05/2007,31367.521367521367
06/2007,31196.581196581195
07/2007,31196.581196581195
08/2007,28205.128205128207
09/2007,29380.34188034188
10/2007,31623.931623931625
11/2007,29829.05982905983
12/2007,31196.581196581195
01/2008,33162.393162393164
02/2008,48547.00854700855
03/2008,38034.18803418803
04/2008,35897.4358974359
05/2008,36752.13675213675
06/2008,39914.529914529914
07/2008,32649.57264957265
08/2008,25811.965811965812
09/2008,17008.547008547008
10/2008,16923.076923076922
11/2008,15982.905982905982
12/2008,15683.760683760684
01/2009,16752.136752136754
02/2009,16666.666666666668
03/2009,18376.068376068375
04/2009,18632.478632478633
05/2009,20170.94017094017
06/2009,21282.05128205128
07/2009,21880.34188034188
08/2009,24700.8547008547
09/2009,25128.20512820513
10/2009,27692.30769230769
11/2009,30811.965811965812
12/2009,34358.97435897436
01/2010,35811.96581196581
02/2010,36752.13675213675
03/2010,40940.17094017094
04/2010,47179.48717948718
05/2010,40256.41025641026
06/2010,38119.65811965812
07/2010,41623.931623931625
08/2010,42222.22222222222
09/2010,48974.35897435898
10/2010,54700.8547008547
11/2010,60000
12/2010,67606.83760683761
01/2011,68888.88888888889
02/2011,67521.36752136752
03/2011,65470.08547008547
04/2011,66410.2564102564
05/2011,66410.2564102564
06/2011,65042.73504273504
07/2011,70427.35042735042
08/2011,66923.07692307692
09/2011,52478.63247863248
10/2011,55811.96581196581
11/2011,52991.45299145299
12/2011,54358.97435897436
01/2012,59145.29914529915
02/2012,61709.40170940171
03/2012,55641.02564102564
04/2012,58034.18803418803
05/2012,52222.22222222222
06/2012,49401.7094017094
07/2012,50512.820512820515
08/2012,53247.86324786325
09/2012,54871.794871794875
10/2012,51794.8717948718
11/2012,58547.00854700855
12/2012,59743.58974358974
01/2013,63162.393162393164
02/2013,63589.743589743586
03/2013,65811.96581196581
04/2013,59743.58974358974
05/2013,63589.743589743586
06/2013,54957.26495726496
07/2013,62649.57264957265
08/2013,62136.75213675214
09/2013,62051.282051282054
10/2013,63418.80341880342
11/2013,61880.34188034188
12/2013,60769.230769230766
01/2014,60427.35042735043
02/2014,63760.68376068376
03/2014,66495.7264957265
04/2014,68632.47863247863
05/2014,71452.99145299145
06/2014,72136.75213675214
07/2014,75213.67521367522
08/2014,76752.13675213675
09/2014,66239.31623931623
10/2014,67008.54700854702
11/2014,69145.29914529914
12/2014,68205.1282051282
01/2015,66239.31623931623
02/2015,69059.82905982906
03/2015,62307.692307692305
04/2015,66581.19658119658
05/2015,66923.07692307692
06/2015,57863.24786324786
07/2015,52136.75213675214
08/2015,48974.35897435898
09/2015,56495.72649572649
10/2015,57863.24786324786
11/2015,45982.905982905984
12/2015,46752.13675213675
01/2016,42820.51282051282
02/2016,42222.22222222222
03/2016,48632.47863247863
04/2016,53675.21367521367
05/2016,46153.846153846156
06/2016,50341.88034188034
07/2016,60427.35042735043
08/2016,57606.83760683761
09/2016,61709.40170940171
10/2016,52307.692307692305
11/2016,65811.96581196581
12/2016,57777.77777777778
01/2017,64615.38461538462
02/2017,66752.13675213675
03/2017,68205.1282051282
04/2017,70427.35042735042
05/2017,69572.64957264958
06/2017,71880.34188034188
07/2017,76410.2564102564
08/2017,79914.52991452992
09/2017,79914.52991452992
10/2017,83504.2735042735
11/2017,86324.78632478633
12/2017,90256.41025641025
01/2018,89829.05982905983
02/2018,88974.35897435897
03/2018,82905.9829059829
04/2018,82307.69230769231
05/2018,84273.50427350428
06/2018,81452.99145299145
07/2018,79316.23931623931
08/2018,83675.21367521367
09/2018,93504.2735042735
10/2018,92478.63247863248
11/2018,102991.45299145298
12/2018,107948.71794871795
01/2019,117948.71794871795
02/2019,131965.81196581197
03/2019,118803.4188034188
04/2019,116752.13675213675
05/2019,117094.0170940171
06/2019,130256.41025641025
07/2019,131025.64102564103
08/2019,131794.87179487178
09/2019,143076.92307692306
10/2019,153333.33333333334
11/2019,156581.1965811966
12/2019,164102.5641025641
01/2020,196153.84615384616
02/2020,232393.1623931624
03/2020,197179.4871794872
04/2020,169743.58974358975
05/2020,164102.5641025641
06/2020,162820.5128205128
07/2020,176495.7264957265
08/2020,185982.90598290597
09/2020,199572.64957264956
10/2020,190427.35042735044
11/2020,205128.20512820513
12/2020,202564.10256410256
01/2021,198888.88888888888
02/2021,201880.34188034188
03/2021,224358.97435897434
04/2021,254786.32478632478
05/2021,240769.23076923078
06/2021,231367.52136752137
07/2021,227179.4871794872
08/2021,212991.452991453
09/2021,162307.6923076923
10/2021,168547.00854700856
11/2021,151025.64102564103
12/2021,164786.32478632478
01/2022,208974.35897435897
02/2022,214444.44444444444
03/2022,193076.92307692306
04/2022,197606.8376068376
05/2022,173675.2136752137
06/2022,161367.52136752137
07/2022,178888.88888888888
08/2022,177777.77777777778
09/2022,189230.76923076922
10/2022,157179.4871794872
11/2022,163076.92307692306
12/2022,152820.5128205128
01/2023,138290.59829059828
02/2023,120769.23076923077
03/2023,127350.42735042734
04/2023,127948.71794871795
05/2023,118803.4188034188
06/2023,107179.48717948717
07/2023,108888.88888888889
08/2023,104700.8547008547
09/2023,110170.94017094017
10/2023,97094.0170940171
11/2023,87606.83760683761
12/2023,95641.02564102564
01/2024,83076.92307692308
02/2024,81367.52136752137
03/2024,86923.07692307692
04/2024,80512.82051282052
05/2024,81111.11111111111
06/2024,83076.92307692308
07/2024,78888.88888888889
08/2024,83760.68376068377
09/2024,85299.1452991453
