Fund,ISIN,Index,Sector,Allocation
S&P 500 VIX Futures Enhanced Roll,N/A,S&P 500 VIX Futures Enhanced Roll,Derivatives (Volatility),100

S&P Commodity Producers Gold,N/A,S&P Commodity Producers Gold,Materials (Gold Mining),100

Bloomberg Commodity,N/A,Bloomberg Commodity,Energy,35
Bloomberg Commodity,N/A,Bloomberg Commodity,Metals,30
Bloomberg Commodity,N/A,Bloomberg Commodity,Agriculture,25
Bloomberg Commodity,N/A,Bloomberg Commodity,Other,10

Bloomberg Commodity (EUR Hedged),N/A,Bloomberg Commodity (EUR Hedged),Energy,35
Bloomberg Commodity (EUR Hedged),N/A,Bloomberg Commodity (EUR Hedged),Metals,30
Bloomberg Commodity (EUR Hedged),N/A,Bloomberg Commodity (EUR Hedged),Agriculture,25
Bloomberg Commodity (EUR Hedged),N/A,Bloomberg Commodity (EUR Hedged),Other,10

Bloomberg Commodity Index 3 Month Forward,N/A,Bloomberg Commodity Index 3 Month Forward,Energy,35
Bloomberg Commodity Index 3 Month Forward,N/A,Bloomberg Commodity Index 3 Month Forward,Metals,30
Bloomberg Commodity Index 3 Month Forward,N/A,Bloomberg Commodity Index 3 Month Forward,Agriculture,25
Bloomberg Commodity Index 3 Month Forward,N/A,Bloomberg Commodity Index 3 Month Forward,Other,10

Bloomberg Energy and Metals Equal-Weighted,N/A,Bloomberg Energy and Metals Equal-Weighted,Energy,50
Bloomberg Energy and Metals Equal-Weighted,N/A,Bloomberg Energy and Metals Equal-Weighted,Metals,50

BNP Paribas Easy ESG Dividend Europe,N/A,BNP Paribas Easy ESG Dividend Europe,Financials,30
BNP Paribas Easy ESG Dividend Europe,N/A,BNP Paribas Easy ESG Dividend Europe,Industrials,25
BNP Paribas Easy ESG Dividend Europe,N/A,BNP Paribas Easy ESG Dividend Europe,Consumer Discretionary,20
BNP Paribas Easy ESG Dividend Europe,N/A,BNP Paribas Easy ESG Dividend Europe,Technology,15
BNP Paribas Easy ESG Dividend Europe,N/A,BNP Paribas Easy ESG Dividend Europe,Other,10

BNP Paribas Easy ESG Low Vol Europe,N/A,BNP Paribas Easy ESG Low Vol Europe,Consumer Staples,35
BNP Paribas Easy ESG Low Vol Europe,N/A,BNP Paribas Easy ESG Low Vol Europe,Utilities,30
BNP Paribas Easy ESG Low Vol Europe,N/A,BNP Paribas Easy ESG Low Vol Europe,Health Care,20
BNP Paribas Easy ESG Low Vol Europe,N/A,BNP Paribas Easy ESG Low Vol Europe,Other,15

BNP Paribas Easy ESG Low Vol US,N/A,BNP Paribas Easy ESG Low Vol US,Consumer Staples,40
BNP Paribas Easy ESG Low Vol US,N/A,BNP Paribas Easy ESG Low Vol US,Utilities,30
BNP Paribas Easy ESG Low Vol US,N/A,BNP Paribas Easy ESG Low Vol US,Health Care,20
BNP Paribas Easy ESG Low Vol US,N/A,BNP Paribas Easy ESG Low Vol US,Other,10

BNP Paribas Easy ESG Momentum Europe,N/A,BNP Paribas Easy ESG Momentum Europe,Technology,40
BNP Paribas Easy ESG Momentum Europe,N/A,BNP Paribas Easy ESG Momentum Europe,Industrials,25
BNP Paribas Easy ESG Momentum Europe,N/A,BNP Paribas Easy ESG Momentum Europe,Financials,20
BNP Paribas Easy ESG Momentum Europe,N/A,BNP Paribas Easy ESG Momentum Europe,Other,15

BNP Paribas Easy ESG Quality Europe,N/A,BNP Paribas Easy ESG Quality Europe,Technology,35
BNP Paribas Easy ESG Quality Europe,N/A,BNP Paribas Easy ESG Quality Europe,Consumer Discretionary,30
BNP Paribas Easy ESG Quality Europe,N/A,BNP Paribas Easy ESG Quality Europe,Industrials,20
BNP Paribas Easy ESG Quality Europe,N/A,BNP Paribas Easy ESG Quality Europe,Other,15

BNP Paribas Equity Value US,N/A,BNP Paribas Equity Value US,Financials,40
BNP Paribas Equity Value US,N/A,BNP Paribas Equity Value US,Energy,30
BNP Paribas Equity Value US,N/A,BNP Paribas Equity Value US,Industrials,20
BNP Paribas Equity Value US,N/A,BNP Paribas Equity Value US,Other,10

FTSE NAREIT Developed,N/A,FTSE NAREIT Developed,Real Estate,100

DAXglobal Gold Miners,N/A,DAXglobal Gold Miners,Materials (Gold Mining),100

Dow Jones Global Select Real Estate Securities,N/A,Dow Jones Global Select Real Estate Securities,Real Estate,100

EURO STOXX 50 Daily Leverage,N/A,EURO STOXX 50 Daily Leverage,Financials,30
EURO STOXX 50 Daily Leverage,N/A,EURO STOXX 50 Daily Leverage,Industrials,25
EURO STOXX 50 Daily Leverage,N/A,EURO STOXX 50 Daily Leverage,Technology,20
EURO STOXX 50 Daily Leverage,N/A,EURO STOXX 50 Daily Leverage,Consumer Discretionary,15
EURO STOXX 50 Daily Leverage,N/A,EURO STOXX 50 Daily Leverage,Other,10

EURO STOXX Banks,N/A,EURO STOXX Banks,Financials,100

FTSE Actuaries UK Conventional Gilts All Stocks,N/A,FTSE Actuaries UK Conventional Gilts All Stocks,Govt Bonds,100

FTSE Developed All Cap Choice,N/A,FTSE Developed All Cap Choice,Technology,28
FTSE Developed All Cap Choice,N/A,FTSE Developed All Cap Choice,Financials,20
FTSE Developed All Cap Choice,N/A,FTSE Developed All Cap Choice,Industrials,15
FTSE Developed All Cap Choice,N/A,FTSE Developed All Cap Choice,Consumer Discretionary,12
FTSE Developed All Cap Choice,N/A,FTSE Developed All Cap Choice,Other,25

FTSE Emerging All Cap Choice,N/A,FTSE Emerging All Cap Choice,Technology,30
FTSE Emerging All Cap Choice,N/A,FTSE Emerging All Cap Choice,Financials,25
FTSE Emerging All Cap Choice,N/A,FTSE Emerging All Cap Choice,Industrials,15
FTSE Emerging All Cap Choice,N/A,FTSE Emerging All Cap Choice,Consumer Discretionary,10
FTSE Emerging All Cap Choice,N/A,FTSE Emerging All Cap Choice,Other,20

GPR Global 100,N/A,GPR Global 100,Real Estate,100

iShares Core MSCI World UCITS ETF,IE00B4L5Y983,MSCI World,Other,37.24
iShares Core MSCI World UCITS ETF,IE00B4L5Y983,MSCI World,Technology,28.2
iShares Core MSCI World UCITS ETF,IE00B4L5Y983,MSCI World,Financials,13.48
iShares Core MSCI World UCITS ETF,IE00B4L5Y983,MSCI World,Consumer Discretionary,11.31
iShares Core MSCI World UCITS ETF,IE00B4L5Y983,MSCI World,Industrials,9.77
Vanguard FTSE All-World UCITS ETF,IE00B3RBWM25,FTSE All-World,Other,38.42
Vanguard FTSE All-World UCITS ETF,IE00B3RBWM25,FTSE All-World,Technology,26.02
Vanguard FTSE All-World UCITS ETF,IE00B3RBWM25,FTSE All-World,Financials,14.88
Vanguard FTSE All-World UCITS ETF,IE00B3RBWM25,FTSE All-World,Consumer Discretionary,10.85
Vanguard FTSE All-World UCITS ETF,IE00B3RBWM25,FTSE All-World,Industrials,9.83
iShares MSCI Emerging Markets UCITS ETF,IE00BKM4GZ66,MSCI Emerging Markets,Other,35.28
iShares MSCI Emerging Markets UCITS ETF,IE00BKM4GZ66,MSCI Emerging Markets,Technology,23.2
iShares MSCI Emerging Markets UCITS ETF,IE00BKM4GZ66,MSCI Emerging Markets,Financials,21.24
iShares MSCI Emerging Markets UCITS ETF,IE00BKM4GZ66,MSCI Emerging Markets,Consumer Discretionary,12.14
iShares MSCI Emerging Markets UCITS ETF,IE00BKM4GZ66,MSCI Emerging Markets,Telecommunication,8.14
iShares MSCI China UCITS ETF,IE00B44T3H88,MSCI China,Consumer Discretionary,29.14
iShares MSCI China UCITS ETF,IE00B44T3H88,MSCI China,Other,24.16
iShares MSCI China UCITS ETF,IE00B44T3H88,MSCI China,Telecommunication,21.11
iShares MSCI China UCITS ETF,IE00B44T3H88,MSCI China,Financials,18.44
iShares MSCI China UCITS ETF,IE00B44T3H88,MSCI China,Technology,7.15
Amundi STOXX Europe 600 UCITS ETF EUR (C),LU1681040223,STOXX Europe 600,Other,40.45
Amundi STOXX Europe 600 UCITS ETF EUR (C),LU1681040223,STOXX Europe 600,Financials,21.49
Amundi STOXX Europe 600 UCITS ETF EUR (C),LU1681040223,STOXX Europe 600,Industrials,15.24
Amundi STOXX Europe 600 UCITS ETF EUR (C),LU1681040223,STOXX Europe 600,Health Care,12.34
Amundi STOXX Europe 600 UCITS ETF EUR (C),LU1681040223,STOXX Europe 600,Consumer Discretionary,10.48
iShares AEX UCITS ETF,IE00B0M62Y33,AEX,Other,27.61
iShares AEX UCITS ETF,IE00B0M62Y33,AEX,Consumer Staples,22.12
iShares AEX UCITS ETF,IE00B0M62Y33,AEX,Technology,20.28
iShares AEX UCITS ETF,IE00B0M62Y33,AEX,Industrials,15.2
iShares AEX UCITS ETF,IE00B0M62Y33,AEX,Energy,14.79
Amundi BEL 20 UCITS ETF Dist,FR0000021842,BEL 20,Financials,27.53
Amundi BEL 20 UCITS ETF Dist,FR0000021842,BEL 20,Health Care,25.11
Amundi BEL 20 UCITS ETF Dist,FR0000021842,BEL 20,Other,23.15
Amundi BEL 20 UCITS ETF Dist,FR0000021842,BEL 20,Consumer Staples,16.29
Amundi BEL 20 UCITS ETF Dist,FR0000021842,BEL 20,Real Estate,7.92
Amundi CAC 40 UCITS ETF Dist,FR0007052782,CAC 40,Other,32.1
Amundi CAC 40 UCITS ETF Dist,FR0007052782,CAC 40,Industrials,27.53
Amundi CAC 40 UCITS ETF Dist,FR0007052782,CAC 40,Consumer Discretionary,23.65
Amundi CAC 40 UCITS ETF Dist,FR0007052782,CAC 40,Financials,9.5
Amundi CAC 40 UCITS ETF Dist,FR0007052782,CAC 40,Energy,7.22
BNP Paribas Easy CAC 40 UCITS ETF,FR0010150458,CAC 40,Industrials,33.06
BNP Paribas Easy CAC 40 UCITS ETF,FR0010150458,CAC 40,Other,25.05
BNP Paribas Easy CAC 40 UCITS ETF,FR0010150458,CAC 40,Consumer Discretionary,19.85
BNP Paribas Easy CAC 40 UCITS ETF,FR0010150458,CAC 40,Financials,11.25
BNP Paribas Easy CAC 40 UCITS ETF,FR0010150458,CAC 40,Consumer Staples,10.79
Amundi CAC 40 UCITS ETF Acc,FR0013380607,CAC 40,Other,32.1
Amundi CAC 40 UCITS ETF Acc,FR0013380607,CAC 40,Industrials,27.53
Amundi CAC 40 UCITS ETF Acc,FR0013380607,CAC 40,Consumer Discretionary,23.65
Amundi CAC 40 UCITS ETF Acc,FR0013380607,CAC 40,Financials,9.5
Amundi CAC 40 UCITS ETF Acc,FR0013380607,CAC 40,Energy,7.22
Xtrackers CAC 40 UCITS ETF 1D,LU0322250985,CAC 40,Other,29.99
Xtrackers CAC 40 UCITS ETF 1D,LU0322250985,CAC 40,Industrials,27.56
Xtrackers CAC 40 UCITS ETF 1D,LU0322250985,CAC 40,Consumer Discretionary,23.66
Xtrackers CAC 40 UCITS ETF 1D,LU0322250985,CAC 40,Financials,9.59
Xtrackers CAC 40 UCITS ETF 1D,LU0322250985,CAC 40,Consumer Staples,9.2
Amundi CAC 40 UCITS ETF DR EUR (C),LU1681046931,CAC 40,Industrials,33.06
Amundi CAC 40 UCITS ETF DR EUR (C),LU1681046931,CAC 40,Other,28.76
Amundi CAC 40 UCITS ETF DR EUR (C),LU1681046931,CAC 40,Consumer Discretionary,19.51
Amundi CAC 40 UCITS ETF DR EUR (C),LU1681046931,CAC 40,Financials,11.16
Amundi CAC 40 UCITS ETF DR EUR (C),LU1681046931,CAC 40,Health Care,7.51
Amundi ETF CAC 40 UCITS ETF DR EUR (D),LU1681047079,CAC 40,Industrials,33.06
Amundi ETF CAC 40 UCITS ETF DR EUR (D),LU1681047079,CAC 40,Other,28.76
Amundi ETF CAC 40 UCITS ETF DR EUR (D),LU1681047079,CAC 40,Consumer Discretionary,19.51
Amundi ETF CAC 40 UCITS ETF DR EUR (D),LU1681047079,CAC 40,Financials,11.16
Amundi ETF CAC 40 UCITS ETF DR EUR (D),LU1681047079,CAC 40,Health Care,7.51
Xtrackers Harvest CSI 300 UCITS ETF 1D,LU0875160326,CSI 300,Other,33.16
Xtrackers Harvest CSI 300 UCITS ETF 1D,LU0875160326,CSI 300,Financials,24.62
Xtrackers Harvest CSI 300 UCITS ETF 1D,LU0875160326,CSI 300,Industrials,16.1
Xtrackers Harvest CSI 300 UCITS ETF 1D,LU0875160326,CSI 300,Technology,15.36
Xtrackers Harvest CSI 300 UCITS ETF 1D,LU0875160326,CSI 300,Consumer Staples,10.76
iShares Core DAX UCITS ETF (DE),DE0005933931,DAX,Industrials,26.33
iShares Core DAX UCITS ETF (DE),DE0005933931,DAX,Other,25.46
iShares Core DAX UCITS ETF (DE),DE0005933931,DAX,Financials,20.24
iShares Core DAX UCITS ETF (DE),DE0005933931,DAX,Technology,17.89
iShares Core DAX UCITS ETF (DE),DE0005933931,DAX,Consumer Discretionary,10.08
Deka DAX UCITS ETF,DE000ETFL011,DAX,Industrials,26.37
Deka DAX UCITS ETF,DE000ETFL011,DAX,Other,25.35
Deka DAX UCITS ETF,DE000ETFL011,DAX,Financials,20.27
Deka DAX UCITS ETF,DE000ETFL011,DAX,Technology,17.92
Deka DAX UCITS ETF,DE000ETFL011,DAX,Consumer Discretionary,10.09
Deka DAX (ausschüttend) UCITS ETF,DE000ETFL060,DAX,Industrials,26.37
Deka DAX (ausschüttend) UCITS ETF,DE000ETFL060,DAX,Other,25.35
Deka DAX (ausschüttend) UCITS ETF,DE000ETFL060,DAX,Financials,20.27
Deka DAX (ausschüttend) UCITS ETF,DE000ETFL060,DAX,Technology,17.92
Deka DAX (ausschüttend) UCITS ETF,DE000ETFL060,DAX,Consumer Discretionary,10.09
Amundi ETF DAX UCITS ETF DR,FR0010655712,DAX,Industrials,26.36
Amundi ETF DAX UCITS ETF DR,FR0010655712,DAX,Other,25.3
Amundi ETF DAX UCITS ETF DR,FR0010655712,DAX,Financials,20.23
Amundi ETF DAX UCITS ETF DR,FR0010655712,DAX,Technology,18.09
Amundi ETF DAX UCITS ETF DR,FR0010655712,DAX,Consumer Discretionary,10.02
Vanguard DAX UCITS ETF Distributing,IE00BG143G97,DAX,Other,30.98
Vanguard DAX UCITS ETF Distributing,IE00BG143G97,DAX,Industrials,20.49
Vanguard DAX UCITS ETF Distributing,IE00BG143G97,DAX,Technology,19.74
Vanguard DAX UCITS ETF Distributing,IE00BG143G97,DAX,Financials,18.86
Vanguard DAX UCITS ETF Distributing,IE00BG143G97,DAX,Consumer Discretionary,9.93
Amundi DAX III UCITS ETF Acc,LU0252633754,DAX,Industrials,26.36
Amundi DAX III UCITS ETF Acc,LU0252633754,DAX,Other,25.3
Amundi DAX III UCITS ETF Acc,LU0252633754,DAX,Financials,20.23
Amundi DAX III UCITS ETF Acc,LU0252633754,DAX,Technology,18.09
Amundi DAX III UCITS ETF Acc,LU0252633754,DAX,Consumer Discretionary,10.02
Xtrackers DAX UCITS ETF 1C,LU0274211480,DAX,Industrials,26.37
Xtrackers DAX UCITS ETF 1C,LU0274211480,DAX,Other,25.35
Xtrackers DAX UCITS ETF 1C,LU0274211480,DAX,Financials,20.27
Xtrackers DAX UCITS ETF 1C,LU0274211480,DAX,Technology,17.92
Xtrackers DAX UCITS ETF 1C,LU0274211480,DAX,Consumer Discretionary,10.09
ComStage DAX UCITS ETF,LU0378438732,DAX,Other,29.38
ComStage DAX UCITS ETF,LU0378438732,DAX,Industrials,24.31
ComStage DAX UCITS ETF,LU0378438732,DAX,Financials,19.22
ComStage DAX UCITS ETF,LU0378438732,DAX,Technology,14.44
ComStage DAX UCITS ETF,LU0378438732,DAX,Consumer Discretionary,12.65
Xtrackers DAX UCITS ETF Income 1D,LU0838782315,DAX,Financials,26.87
Xtrackers DAX UCITS ETF Income 1D,LU0838782315,DAX,Other,25.98
Xtrackers DAX UCITS ETF Income 1D,LU0838782315,DAX,Industrials,19.21
Xtrackers DAX UCITS ETF Income 1D,LU0838782315,DAX,Technology,14.06
Xtrackers DAX UCITS ETF Income 1D,LU0838782315,DAX,Consumer Discretionary,13.88
iShares Emerging Markets Dividend UCITS ETF,IE00B652H904,Dow Jones Emerging Markets Select Dividend,Other,26.75
iShares Emerging Markets Dividend UCITS ETF,IE00B652H904,Dow Jones Emerging Markets Select Dividend,Financials,26.17
iShares Emerging Markets Dividend UCITS ETF,IE00B652H904,Dow Jones Emerging Markets Select Dividend,Energy,18.92
iShares Emerging Markets Dividend UCITS ETF,IE00B652H904,Dow Jones Emerging Markets Select Dividend,Basic Materials,18.46
iShares Emerging Markets Dividend UCITS ETF,IE00B652H904,Dow Jones Emerging Markets Select Dividend,Industrials,9.7
iShares Dow Jones Global Titans 50 UCITS ETF (DE),DE0006289382,Dow Jones Global Titans 50,Technology,42.41
iShares Dow Jones Global Titans 50 UCITS ETF (DE),DE0006289382,Dow Jones Global Titans 50,Other,18.29
iShares Dow Jones Global Titans 50 UCITS ETF (DE),DE0006289382,Dow Jones Global Titans 50,Telecommunication,14.47
iShares Dow Jones Global Titans 50 UCITS ETF (DE),DE0006289382,Dow Jones Global Titans 50,Consumer Discretionary,13.88
iShares Dow Jones Global Titans 50 UCITS ETF (DE),DE0006289382,Dow Jones Global Titans 50,Health Care,10.95
iShares Dow Jones Industrial Average UCITS ETF (DE),DE0006289390,Dow Jones Industrial Average,Other,26.94
iShares Dow Jones Industrial Average UCITS ETF (DE),DE0006289390,Dow Jones Industrial Average,Technology,25.1
iShares Dow Jones Industrial Average UCITS ETF (DE),DE0006289390,Dow Jones Industrial Average,Financials,19.42
iShares Dow Jones Industrial Average UCITS ETF (DE),DE0006289390,Dow Jones Industrial Average,Health Care,14.51
iShares Dow Jones Industrial Average UCITS ETF (DE),DE0006289390,Dow Jones Industrial Average,Consumer Discretionary,14.03
iShares Dow Jones Industrial Average UCITS ETF (Acc),IE00B53L4350,Dow Jones Industrial Average,Other,27.01
iShares Dow Jones Industrial Average UCITS ETF (Acc),IE00B53L4350,Dow Jones Industrial Average,Technology,25.08
iShares Dow Jones Industrial Average UCITS ETF (Acc),IE00B53L4350,Dow Jones Industrial Average,Financials,19.4
iShares Dow Jones Industrial Average UCITS ETF (Acc),IE00B53L4350,Dow Jones Industrial Average,Health Care,14.5
iShares Dow Jones Industrial Average UCITS ETF (Acc),IE00B53L4350,Dow Jones Industrial Average,Consumer Discretionary,14.01
iShares Dow Jones US Select Dividend UCITS ETF (DE),DE000A0D8Q49,Dow Jones US Select Dividend,Utilities,29.15
iShares Dow Jones US Select Dividend UCITS ETF (DE),DE000A0D8Q49,Dow Jones US Select Dividend,Other,27.38
iShares Dow Jones US Select Dividend UCITS ETF (DE),DE000A0D8Q49,Dow Jones US Select Dividend,Financials,26.92
iShares Dow Jones US Select Dividend UCITS ETF (DE),DE000A0D8Q49,Dow Jones US Select Dividend,Consumer Staples,9.83
iShares Dow Jones US Select Dividend UCITS ETF (DE),DE000A0D8Q49,Dow Jones US Select Dividend,Consumer Discretionary,6.72
Invesco Elwood Global Blockchain UCITS ETF A,IE00BGBN6P67,Elwood Blockchain Global Equity,Technology,47.01
Invesco Elwood Global Blockchain UCITS ETF A,IE00BGBN6P67,Elwood Blockchain Global Equity,Financials,29.22
Invesco Elwood Global Blockchain UCITS ETF A,IE00BGBN6P67,Elwood Blockchain Global Equity,Consumer Discretionary,10.01
Invesco Elwood Global Blockchain UCITS ETF A,IE00BGBN6P67,Elwood Blockchain Global Equity,Other,8.16
Invesco Elwood Global Blockchain UCITS ETF A,IE00BGBN6P67,Elwood Blockchain Global Equity,Telecommunication,5.6
HANetf Future of Defence UCITS ETF,IE000OJ5TQP4,EQM Future of Defence,Industrials,59.32
HANetf Future of Defence UCITS ETF,IE000OJ5TQP4,EQM Future of Defence,Technology,38.64
HANetf Future of Defence UCITS ETF,IE000OJ5TQP4,EQM Future of Defence,Other,2.05
iShares EURO STOXX UCITS ETF (DE),DE000A0D8Q07,EURO STOXX,Other,33.42
iShares EURO STOXX UCITS ETF (DE),DE000A0D8Q07,EURO STOXX,Financials,19.31
iShares EURO STOXX UCITS ETF (DE),DE000A0D8Q07,EURO STOXX,Industrials,18.84
iShares EURO STOXX UCITS ETF (DE),DE000A0D8Q07,EURO STOXX,Technology,14.51
iShares EURO STOXX UCITS ETF (DE),DE000A0D8Q07,EURO STOXX,Consumer Discretionary,13.92
Amundi MSCI EMU ESG CTB Net Zero Ambition UCITS ETF Acc,LU0908501058,EURO STOXX,Other,32.41
Amundi MSCI EMU ESG CTB Net Zero Ambition UCITS ETF Acc,LU0908501058,EURO STOXX,Financials,20.84
Amundi MSCI EMU ESG CTB Net Zero Ambition UCITS ETF Acc,LU0908501058,EURO STOXX,Industrials,16.91
Amundi MSCI EMU ESG CTB Net Zero Ambition UCITS ETF Acc,LU0908501058,EURO STOXX,Technology,15.54
Amundi MSCI EMU ESG CTB Net Zero Ambition UCITS ETF Acc,LU0908501058,EURO STOXX,Consumer Discretionary,14.3
Amundi MSCI EMU ESG CTB Net Zero Ambition UCITS ETF Dist,LU0908501132,EURO STOXX,Other,32.41
Amundi MSCI EMU ESG CTB Net Zero Ambition UCITS ETF Dist,LU0908501132,EURO STOXX,Financials,20.84
Amundi MSCI EMU ESG CTB Net Zero Ambition UCITS ETF Dist,LU0908501132,EURO STOXX,Industrials,16.91
Amundi MSCI EMU ESG CTB Net Zero Ambition UCITS ETF Dist,LU0908501132,EURO STOXX,Technology,15.54
Amundi MSCI EMU ESG CTB Net Zero Ambition UCITS ETF Dist,LU0908501132,EURO STOXX,Consumer Discretionary,14.3
iShares EURO STOXX 50 UCITS ETF (DE),DE0005933956,EURO STOXX 50,Other,25.3
iShares EURO STOXX 50 UCITS ETF (DE),DE0005933956,EURO STOXX 50,Financials,19.71
