Fund,ISIN,Index,Country,Allocation
iShares J.P. Morgan USD EM Bond EUR Hedged UCITS ETF (Dist),IE00B9M6RS56,JP Morgan EMBI Global Core (Hedged EUR),Other,53

UBS ETF (LU) J.P. Morgan EM Multi-Factor Enhanced Local Currency Bond UCITS ETF (USD) A-dis,LU1720938841,JP Morgan Emerging Market Enhanced Multi-Factor Local Currency Bond,Emerging Markets,100

Amundi ETF BofA Merrill Lynch Euro Government Bonds 1-10 UCITS ETF DR,LU1437018598,JP Morgan EMU Government Bond,France,30
Amundi ETF BofA Merrill Lynch Euro Government Bonds 1-10 UCITS ETF DR,LU1437018598,JP Morgan EMU Government Bond,Germany,30
Amundi ETF BofA Merrill Lynch Euro Government Bonds 1-10 UCITS ETF DR,LU1437018598,JP Morgan EMU Government Bond,Italy,20
Amundi ETF BofA Merrill Lynch Euro Government Bonds 1-10 UCITS ETF DR,LU1437018598,JP Morgan EMU Government Bond,Spain,10
Amundi ETF BofA Merrill Lynch Euro Government Bonds 1-10 UCITS ETF DR,LU1437018598,JP Morgan EMU Government Bond,Other,10

BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5 Y,LU2008763182,JP Morgan ESG EMU Government Bond IG 3-5 Year,France,30
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5 Y,LU2008763182,JP Morgan ESG EMU Government Bond IG 3-5 Year,Germany,30
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5 Y,LU2008763182,JP Morgan ESG EMU Government Bond IG 3-5 Year,Italy,20
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5 Y,LU2008763182,JP Morgan ESG EMU Government Bond IG 3-5 Year,Spain,10
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5 Y,LU2008763182,JP Morgan ESG EMU Government Bond IG 3-5 Year,Other,10

iShares J.P. Morgan EM Local Government Bond UCITS ETF,IE00B5M4WH52,JP Morgan GBI-EM Global Diversified 10% Cap 1% Floor,Emerging Markets,100

Amundi ETF J.P. Morgan Government Bond Global UCITS ETF DR EUR Hedged,LU1708330235,JP Morgan Global Government Bond (Hedged EUR),Global,100

Amundi ETF J.P. Morgan GBI Global Government Bonds UCITS ETF DR,LU1437016204,JP Morgan Government Bond Global,Global,100

Invesco JPX-Nikkei 400 UCITS ETF,IE00BPRCH686,JPX-Nikkei 400,Japan,100

Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,IE00BRB36B93,JPX-Nikkei 400 Daily (EUR Hedged),Japan,100

iShares MDAX UCITS ETF (DE),DE0005933923,MDAX,Germany,100

VanEck Morningstar US Sustainable Wide Moat UCITS ETF,IE00BQQP9H09,Morningstar US Sustainable Moat Focus,United States,100

Lyxor PEA Asie Pacifique (MSCI AC Asia Pacific Ex Japan) UCITS ETF - Acc,FR0011869312,MSCI AC Asia Pacific ex-Japan,Australia,25
Lyxor PEA Asie Pacifique (MSCI AC Asia Pacific Ex Japan) UCITS ETF - Acc,FR0011869312,MSCI AC Asia Pacific ex-Japan,China,25
Lyxor PEA Asie Pacifique (MSCI AC Asia Pacific Ex Japan) UCITS ETF - Acc,FR0011869312,MSCI AC Asia Pacific ex-Japan,South Korea,20
Lyxor PEA Asie Pacifique (MSCI AC Asia Pacific Ex Japan) UCITS ETF - Acc,FR0011869312,MSCI AC Asia Pacific ex-Japan,Hong Kong,15
Lyxor PEA Asie Pacifique (MSCI AC Asia Pacific Ex Japan) UCITS ETF - Acc,FR0011869312,MSCI AC Asia Pacific ex-Japan,Other,15

iShares MSCI AC Far East ex-Japan UCITS ETF,IE00B0M63730,MSCI AC Far East ex-Japan,China,30
iShares MSCI AC Far East ex-Japan UCITS ETF,IE00B0M63730,MSCI AC Far East ex-Japan,South Korea,25
iShares MSCI AC Far East ex-Japan UCITS ETF,IE00B0M63730,MSCI AC Far East ex-Japan,Taiwan,20
iShares MSCI AC Far East ex-Japan UCITS ETF,IE00B0M63730,MSCI AC Far East ex-Japan,Hong Kong,15
iShares MSCI AC Far East ex-Japan UCITS ETF,IE00B0M63730,MSCI AC Far East ex-Japan,Other,10

UBS ETFs plc – MSCI ACWI SF UCITS ETF (USD) A-UKdis,IE00BJXFZ989,MSCI ACWI,Global,100

Lyxor MSCI Robotics & AI ESG Filtered UCITS ETF Acc,LU1838002480,MSCI ACWI IMI Robotics & AI ESG Filtered,Global,100

iShares MSCI Australia UCITS ETF,IE00B5377D42,MSCI Australia,Australia,100

HSBC MSCI Canada UCITS ETF USD,DE000A1JF7N6,MSCI Canada,Canada,100

Amundi MSCI China A UCITS ETF Acc,FR0011720911,MSCI China A,China,100

HSBC MSCI China A UCITS ETF USD (Acc),IE000Z4OYPZ6,MSCI China A Inclusion,China,100

HSBC MSCI Emerging Markets UCITS ETF USD,DE000A1JXC94,MSCI Emerging Markets,China,30
HSBC MSCI Emerging Markets UCITS ETF USD,DE000A1JXC94,MSCI Emerging Markets,India,20
HSBC MSCI Emerging Markets UCITS ETF USD,DE000A1JXC94,MSCI Emerging Markets,Taiwan,15
HSBC MSCI Emerging Markets UCITS ETF USD,DE000A1JXC94,MSCI Emerging Markets,Brazil,10
HSBC MSCI Emerging Markets UCITS ETF USD,DE000A1JXC94,MSCI Emerging Markets,Other,25

Amundi ETF PEA MSCI Emerging Asia UCITS ETF,FR0013412012,MSCI Emerging Markets Asia,China,35
Amundi ETF PEA MSCI Emerging Asia UCITS ETF,FR0013412012,MSCI Emerging Markets Asia,India,25
Amundi ETF PEA MSCI Emerging Asia UCITS ETF,FR0013412012,MSCI Emerging Markets Asia,Taiwan,20
Amundi ETF PEA MSCI Emerging Asia UCITS ETF,FR0013412012,MSCI Emerging Markets Asia,Other,20

iShares MSCI EM ex-China UCITS ETF USD (Acc),IE00BMG6Z448,MSCI Emerging Markets ex China,India,30
iShares MSCI EM ex-China UCITS ETF USD (Acc),IE00BMG6Z448,MSCI Emerging Markets ex China,Taiwan,25
iShares MSCI EM ex-China UCITS ETF USD (Acc),IE00BMG6Z448,MSCI Emerging Markets ex China,Brazil,15
iShares MSCI EM ex-China UCITS ETF USD (Acc),IE00BMG6Z448,MSCI Emerging Markets ex China,South Africa,10
iShares MSCI EM ex-China UCITS ETF USD (Acc),IE00BMG6Z448,MSCI Emerging Markets ex China,Other,20

HSBC MSCI EM Latin America UCITS ETF USD,IE00B4TS3815,MSCI Emerging Markets Latin America,Brazil,50
HSBC MSCI EM Latin America UCITS ETF USD,IE00B4TS3815,MSCI Emerging Markets Latin America,Mexico,25
HSBC MSCI EM Latin America UCITS ETF USD,IE00B4TS3815,MSCI Emerging Markets Latin America,Chile,15
HSBC MSCI EM Latin America UCITS ETF USD,IE00B4TS3815,MSCI Emerging Markets Latin America,Other,10

Amundi ETF MSCI EMU High Dividend UCITS ETF EUR (C),FR0010717090,MSCI EMU High Dividend Yield,France,30
Amundi ETF MSCI EMU High Dividend UCITS ETF EUR (C),FR0010717090,MSCI EMU High Dividend Yield,Germany,30
Amundi ETF MSCI EMU High Dividend UCITS ETF EUR (C),FR0010717090,MSCI EMU High Dividend Yield,Italy,20
Amundi ETF MSCI EMU High Dividend UCITS ETF EUR (C),FR0010717090,MSCI EMU High Dividend Yield,Spain,10
Amundi ETF MSCI EMU High Dividend UCITS ETF EUR (C),FR0010717090,MSCI EMU High Dividend Yield,Other,10

HSBC MSCI Europe UCITS ETF EUR,DE000A1C22L5,MSCI Europe,France,30
HSBC MSCI Europe UCITS ETF EUR,DE000A1C22L5,MSCI Europe,Germany,30
HSBC MSCI Europe UCITS ETF EUR,DE000A1C22L5,MSCI Europe,United Kingdom,20
HSBC MSCI Europe UCITS ETF EUR,DE000A1C22L5,MSCI Europe,Italy,10
HSBC MSCI Europe UCITS ETF EUR,DE000A1C22L5,MSCI Europe,Other,10

Lyxor MSCI Europe Mid Cap UCITS ETF,LU0392496260,MSCI Europe Mid Cap,France,25
Lyxor MSCI Europe Mid Cap UCITS ETF,LU0392496260,MSCI Europe Mid Cap,Germany,25
Lyxor MSCI Europe Mid Cap UCITS ETF,LU0392496260,MSCI Europe Mid Cap,United Kingdom,20
Lyxor MSCI Europe Mid Cap UCITS ETF,LU0392496260,MSCI Europe Mid Cap,Italy,15
Lyxor MSCI Europe Mid Cap UCITS ETF,LU0392496260,MSCI Europe Mid Cap,Other,15

Amundi MSCI Europe Minimum Volatility Factor UCITS ETF EUR (C),LU1681041627,MSCI Europe Minimum Volatility,France,30
Amundi MSCI Europe Minimum Volatility Factor UCITS ETF EUR (C),LU1681041627,MSCI Europe Minimum Volatility,Germany,30
Amundi MSCI Europe Minimum Volatility Factor UCITS ETF EUR (C),LU1681041627,MSCI Europe Minimum Volatility,United Kingdom,20
Amundi MSCI Europe Minimum Volatility Factor UCITS ETF EUR (C),LU1681041627,MSCI Europe Minimum Volatility,Italy,10
Amundi MSCI Europe Minimum Volatility Factor UCITS ETF EUR (C),LU1681041627,MSCI Europe Minimum Volatility,Other,10

Amundi MSCI Europe Momentum Factor UCITS ETF EUR (C),LU1681041460,MSCI Europe Momentum,France,30
Amundi MSCI Europe Momentum Factor UCITS ETF EUR (C),LU1681041460,MSCI Europe Momentum,Germany,30
Amundi MSCI Europe Momentum Factor UCITS ETF EUR (C),LU1681041460,MSCI Europe Momentum,United Kingdom,20
Amundi MSCI Europe Momentum Factor UCITS ETF EUR (C),LU1681041460,MSCI Europe Momentum,Italy,10
Amundi MSCI Europe Momentum Factor UCITS ETF EUR (C),LU1681041460,MSCI Europe Momentum,Other,10

Amundi MSCI Europe Quality Factor UCITS ETF EUR (C),LU1681041890,MSCI Europe Quality,France,30
Amundi MSCI Europe Quality Factor UCITS ETF EUR (C),LU1681041890,MSCI Europe Quality,Germany,30
Amundi MSCI Europe Quality Factor UCITS ETF EUR (C),LU1681041890,MSCI Europe Quality,United Kingdom,20
Amundi MSCI Europe Quality Factor UCITS ETF EUR (C),LU1681041890,MSCI Europe Quality,Italy,10
Amundi MSCI Europe Quality Factor UCITS ETF EUR (C),LU1681041890,MSCI Europe Quality,Other,10

ComStage MSCI Europe Small Cap UCITS ETF,LU0392496344,MSCI Europe Small Cap,France,25
ComStage MSCI Europe Small Cap UCITS ETF,LU0392496344,MSCI Europe Small Cap,Germany,25
ComStage MSCI Europe Small Cap UCITS ETF,LU0392496344,MSCI Europe Small Cap,United Kingdom,20
ComStage MSCI Europe Small Cap UCITS ETF,LU0392496344,MSCI Europe Small Cap,Italy,15
ComStage MSCI Europe Small Cap UCITS ETF,LU0392496344,MSCI Europe Small Cap,Other,15

BNP Paribas Easy MSCI Europe Small Caps SRI S-Series 5% Capped UCITS ETF,LU1291101555,MSCI Europe Small Cap SRI S-Series 5% Capped,France,25
BNP Paribas Easy MSCI Europe Small Caps SRI S-Series 5% Capped UCITS ETF,LU1291101555,MSCI Europe Small Cap SRI S-Series 5% Capped,Germany,25
BNP Paribas Easy MSCI Europe Small Caps SRI S-Series 5% Capped UCITS ETF,LU1291101555,MSCI Europe Small Cap SRI S-Series 5% Capped,United Kingdom,20
BNP Paribas Easy MSCI Europe Small Caps SRI S-Series 5% Capped UCITS ETF,LU1291101555,MSCI Europe Small Cap SRI S-Series 5% Capped,Italy,15
BNP Paribas Easy MSCI Europe Small Caps SRI S-Series 5% Capped UCITS ETF,LU1291101555,MSCI Europe Small Cap SRI S-Series 5% Capped,Other,15

Invesco MSCI Europe Value UCITS ETF,IE00B3LK4Z20,MSCI Europe Value,France,30
Invesco MSCI Europe Value UCITS ETF,IE00B3LK4Z20,MSCI Europe Value,Germany,30
Invesco MSCI Europe Value UCITS ETF,IE00B3LK4Z20,MSCI Europe Value,United Kingdom,20
Invesco MSCI Europe Value UCITS ETF,IE00B3LK4Z20,MSCI Europe Value,Italy,10
Invesco MSCI Europe Value UCITS ETF,IE00B3LK4Z20,MSCI Europe Value,Other,10

Amundi ETF MSCI France UCITS ETF,FR0010655704,MSCI France,France,100

Amundi MSCI India II UCITS ETF EUR Acc,FR0010361683,MSCI India,India,100

iShares MSCI Japan EUR Hedged UCITS ETF (Acc),IE00B42Z5J44,MSCI Japan 100% Hedged to EUR,Japan,100

iShares Core MSCI Japan IMI UCITS ETF,IE00B4L5YX21,MSCI Japan IMI,Japan,100

Xtrackers MSCI Nordic UCITS ETF 1D,IE00B9MRHC27,MSCI Nordic Countries,Sweden,40
Xtrackers MSCI Nordic UCITS ETF 1D,IE00B9MRHC27,MSCI Nordic Countries,Denmark,30
Xtrackers MSCI Nordic UCITS ETF 1D,IE00B9MRHC27,MSCI Nordic Countries,Norway,20
Xtrackers MSCI Nordic UCITS ETF 1D,IE00B9MRHC27,MSCI Nordic Countries,Other,10

ComStage MSCI Pacific UCITS ETF,LU0392495023,MSCI Pacific,Australia,50
ComStage MSCI Pacific UCITS ETF,LU0392495023,MSCI Pacific,Japan,40
ComStage MSCI Pacific UCITS ETF,LU0392495023,MSCI Pacific,Other,10

HSBC MSCI Pacific ex Japan UCITS ETF USD,DE000A1C22P6,MSCI Pacific ex-Japan,Australia,50
HSBC MSCI Pacific ex Japan UCITS ETF USD,DE000A1C22P6,MSCI Pacific ex-Japan,New Zealand,30
HSBC MSCI Pacific ex Japan UCITS ETF USD,DE000A1C22P6,MSCI Pacific ex-Japan,Other,20

HSBC MSCI USA UCITS ETF USD,DE000A1C22K7,MSCI USA,United States,100

iShares Edge MSCI USA Value Factor UCITS ETF,IE00BD1F4M44,MSCI USA Enhanced Value,United States,100

iShares MSCI USA Dividend IQ UCITS ETF,IE00BKM4H312,MSCI USA High Dividend Yield,United States,100

Amundi ETF Leveraged MSCI USA Daily UCITS ETF EUR,FR0010755611,MSCI USA Leveraged 2x Daily,United States,100

iShares Edge MSCI USA Momentum Factor UCITS ETF,IE00BD1F4N50,MSCI USA Momentum,United States,100

UBS ETF (IE) Factor MSCI USA Quality UCITS ETF (USD) A-dis,IE00BX7RRJ27,MSCI USA Quality,United States,100

UBS ETF (IE) Factor MSCI USA Quality UCITS ETF (hedged to EUR) A-acc,IE00BWT3KN65,MSCI USA Quality (EUR Hedged),United States,100

iShares Edge MSCI USA Quality Factor UCITS ETF,IE00BD1F4L37,MSCI USA Sector Neutral Quality,United States,100

SPDR MSCI USA Small Cap Value Weighted UCITS ETF,IE00BSPLC413,MSCI USA Small Cap Value Weighted,United States,100

iShares MSCI USA SRI UCITS ETF,IE00BYVJRR92,MSCI USA SRI Select Reduced Fossil Fuel,United States,100

UBS ETF (IE) MSCI USA Value UCITS ETF (USD) A-dis,IE00B78JSG98,MSCI USA Value,United States,100

Amundi MSCI World II UCITS ETF Dist,FR0010315770,MSCI World,United States,60
Amundi MSCI World II UCITS ETF Dist,FR0010315770,MSCI World,Germany,10
Amundi MSCI World II UCITS ETF Dist,FR0010315770,MSCI World,France,5
Amundi MSCI World II UCITS ETF Dist,FR0010315770,MSCI World,United Kingdom,5
Amundi MSCI World II UCITS ETF Dist,FR0010315770,MSCI World,Switzerland,5
Amundi MSCI World II UCITS ETF Dist,FR0010315770,MSCI World,Japan,10
Amundi MSCI World II UCITS ETF Dist,FR0010315770,MSCI World,Other,5

Amundi MSCI World II UCITS ETF EUR Hedged Dist,FR0011660927,MSCI World 100% Hedged to EUR,United States,60
Amundi MSCI World II UCITS ETF EUR Hedged Dist,FR0011660927,MSCI World 100% Hedged to EUR,Germany,10
Amundi MSCI World II UCITS ETF EUR Hedged Dist,FR0011660927,MSCI World 100% Hedged to EUR,France,5
Amundi MSCI World II UCITS ETF EUR Hedged Dist,FR0011660927,MSCI World 100% Hedged to EUR,United Kingdom,5
Amundi MSCI World II UCITS ETF EUR Hedged Dist,FR0011660927,MSCI World 100% Hedged to EUR,Switzerland,5
Amundi MSCI World II UCITS ETF EUR Hedged Dist,FR0011660927,MSCI World 100% Hedged to EUR,Japan,10
Amundi MSCI World II UCITS ETF EUR Hedged Dist,FR0011660927,MSCI World 100% Hedged to EUR,Other,5

Lyxor MSCI World Consumer Discretionary TR UCITS ETF - Acc (EUR),LU0533032008,MSCI World Consumer Discretionary,United States,50
Lyxor MSCI World Consumer Discretionary TR UCITS ETF - Acc (EUR),LU0533032008,MSCI World Consumer Discretionary,Germany,15
Lyxor MSCI World Consumer Discretionary TR UCITS ETF - Acc (EUR),LU0533032008,MSCI World Consumer Discretionary,France,10
Lyxor MSCI World Consumer Discretionary TR UCITS ETF - Acc (EUR),LU0533032008,MSCI World Consumer Discretionary,United Kingdom,5
Lyxor MSCI World Consumer Discretionary TR UCITS ETF - Acc (EUR),LU0533032008,MSCI World Consumer Discretionary,Switzerland,5
Lyxor MSCI World Consumer Discretionary TR UCITS ETF - Acc (EUR),LU0533032008,MSCI World Consumer Discretionary,Other,15

Amundi MSCI World Financials UCITS ETF EUR Acc,LU0533032859,MSCI World Financials,United States,50
Amundi MSCI World Financials UCITS ETF EUR Acc,LU0533032859,MSCI World Financials,Germany,15
Amundi MSCI World Financials UCITS ETF EUR Acc,LU0533032859,MSCI World Financials,France,10
Amundi MSCI World Financials UCITS ETF EUR Acc,LU0533032859,MSCI World Financials,United Kingdom,5
Amundi MSCI World Financials UCITS ETF EUR Acc,LU0533032859,MSCI World Financials,Switzerland,5
Amundi MSCI World Financials UCITS ETF EUR Acc,LU0533032859,MSCI World Financials,Other,15

Amundi MSCI World Health Care UCITS ETF EUR Acc,LU0533033238,MSCI World Health Care,United States,50
Amundi MSCI World Health Care UCITS ETF EUR Acc,LU0533033238,MSCI World Health Care,Germany,15
Amundi MSCI World Health Care UCITS ETF EUR Acc,LU0533033238,MSCI World Health Care,France,10
Amundi MSCI World Health Care UCITS ETF EUR Acc,LU0533033238,MSCI World Health Care,United Kingdom,5
Amundi MSCI World Health Care UCITS ETF EUR Acc,LU0533033238,MSCI World Health Care,Switzerland,5
Amundi MSCI World Health Care UCITS ETF EUR Acc,LU0533033238,MSCI World Health Care,Other,15

Amundi MSCI World Information Technology UCITS ETF EUR Acc,LU0533033667,MSCI World Information Technology,United States,60
Amundi MSCI World Information Technology UCITS ETF EUR Acc,LU0533033667,MSCI World Information Technology,Germany,10
Amundi MSCI World Information Technology UCITS ETF EUR Acc,LU0533033667,MSCI World Information Technology,France,5
Amundi MSCI World Information Technology UCITS ETF EUR Acc,LU0533033667,MSCI World Information Technology,United Kingdom,5
Amundi MSCI World Information Technology UCITS ETF EUR Acc,LU0533033667,MSCI World Information Technology,Switzerland,5
Amundi MSCI World Information Technology UCITS ETF EUR Acc,LU0533033667,MSCI World Information Technology,Other,15

VanEck Semiconductor UCITS ETF,IE00BMC38736,MVIS US Listed Semiconductor 10% Capped,United States,100

WisdomTree Artificial Intelligence UCITS ETF USD Acc,IE00BDVPNG13,Nasdaq CTA Artificial Intelligence,United States,80
WisdomTree Artificial Intelligence UCITS ETF USD Acc,IE00BDVPNG13,Nasdaq CTA Artificial Intelligence,Other,20

iShares Nasdaq 100 UCITS ETF EUR Hedged Acc,IE00BYVQ9F29,Nasdaq-100 (EUR Hedged),United States,100

Amundi Nasdaq-100 Daily (2x) Leveraged UCITS ETF Acc,FR0010342592,Nasdaq-100 Leveraged Notional Net,United States,100

Meesman Indexfonds Aandelen Wereldwijd,NL0010436663,Northern Trust MSCI World Custom ESG,United States,60
Meesman Indexfonds Aandelen Wereldwijd,NL0010436663,Northern Trust MSCI World Custom ESG,Germany,10
Meesman Indexfonds Aandelen Wereldwijd,NL0010436663,Northern Trust MSCI World Custom ESG,France,5
Meesman Indexfonds Aandelen Wereldwijd,NL0010436663,Northern Trust MSCI World Custom ESG,United Kingdom,5
Meesman Indexfonds Aandelen Wereldwijd,NL0010436663,Northern Trust MSCI World Custom ESG,Switzerland,5
Meesman Indexfonds Aandelen Wereldwijd,NL0010436663,Northern Trust MSCI World Custom ESG,Japan,10
Meesman Indexfonds Aandelen Wereldwijd,NL0010436663,Northern Trust MSCI World Custom ESG,Other,5

Market Access NYSE Arca Gold Bugs UCITS ETF,LU0259322260,NYSE Arca Gold BUGS,United States,50
Market Access NYSE Arca Gold Bugs UCITS ETF,LU0259322260,NYSE Arca Gold BUGS,Canada,30
Market Access NYSE Arca Gold Bugs UCITS ETF,LU0259322260,NYSE Arca Gold BUGS,Other,20

iShares Physical Palladium ETC,IE00B4556L06,Palladium spot price,Global,100

Xtrackers Physical Palladium EUR Hedged ETC,DE000A1EK3B8,Palladium spot price (EUR Hedged),Global,100

Amundi Russell 1000 Growth UCITS ETF Acc,FR0011119171,Russell 1000 Growth,United States,100

L&G Russell 2000 US Small Cap UCITS ETF,DE000A0Q8NE4,Russell 2000,United States,100

Xtrackers Russell Midcap UCITS ETF 1C,IE00BJZ2DC62,Russell Midcap,United States,100

Xtrackers S&P 500 Equal Weight UCITS ETF 2D,IE000CXLGK86,S&P 500 Equal Weight,United States,100

SPDR S&P 500 ESG Leaders UCITS ETF (Acc),IE00BH4GPZ28,S&P 500 ESG Leaders,United States,100

Lyxor PEA S&P 500 UCITS ETF Couverte en EUR - Capi.,FR0011871136,S&P 500 EUR Hedged,United States,100

iShares S&P 500 Health Care Sector UCITS ETF (Acc),IE00B43HR379,S&P 500 Health Care Sector,United States,100

Xtrackers S&P 500 2x Leveraged Daily Swap UCITS ETF 1C,LU0411078552,S&P 500 Leverage 2x Daily,United States,100

Amundi S&P 500 VIX Futures Enhanced Roll UCITS ETF Acc,LU0832435464,S&P 500 VIX Futures Enhanced Roll,United States,100

SPDR S&P US Consumer Staples Select Sector UCITS ETF,IE00BWBXM385,S&P Consumer Staples Select Sector,United States,100

Amundi S&P Global Luxury UCITS ETF EUR (C),LU1681048630,S&P Global Luxury,United States,50
Amundi S&P Global Luxury UCITS ETF EUR (C),LU1681048630,S&P Global Luxury,France,20
Amundi S&P Global Luxury UCITS ETF EUR (C),LU1681048630,S&P Global Luxury,Switzerland,15
Amundi S&P Global Luxury UCITS ETF EUR (C),LU1681048630,S&P Global Luxury,Italy,10
Amundi S&P Global Luxury UCITS ETF EUR (C),LU1681048630,S&P Global Luxury,Other,5

ComStage S&P MidCap 400 UCITS ETF,LU0392495965,S&P MidCap 400,United States,100

Invesco US Technology Sector UCITS ETF,IE00B3VSSL01,S&P Select Sector Capped 20% Technology,United States,100

iShares S&P SmallCap 600 UCITS ETF,IE00B2QWCY14,S&P SmallCap 600,United States,100

SPDR S&P US Technology Select Sector UCITS ETF,IE00BWBXM948,S&P Technology Select Sector,United States,100

Ossiam Shiller Barclays CAPE® US Sector Value TR UCITS ETF 1C (EUR),LU1079841273,Shiller Barclays CAPE US Sector Value,United States,100

iShares SMI (CH),CH0008899764,SMI,Switzerland,100

Amundi EUR Overnight Return UCITS ETF Acc,FR0010510800,Solactive Euro Overnight Return,Eurozone,100

Amundi Prime Euro Government Bonds 0-1Y UCITS ETF DR (C),LU2233156582,Solactive Eurozone Government Bond 0-1 Year,Eurozone,100

Global X SuperDividend,US37950E5490,Solactive Global SuperDividend,United States,40
Global X SuperDividend,US37950E5490,Solactive Global SuperDividend,United Kingdom,15
Global X SuperDividend,US37950E5490,Solactive Global SuperDividend,Australia,10
Global X SuperDividend,US37950E5490,Solactive Global SuperDividend,Canada,10
Global X SuperDividend,US37950E5490,Solactive Global SuperDividend,Other,25

Amundi Smart Factory UCITS ETF - EUR (C),LU2037749822,Solactive Smart Factory,United States,50
Amundi Smart Factory UCITS ETF - EUR (C),LU2037749822,Solactive Smart Factory,Germany,20
Amundi Smart Factory UCITS ETF - EUR (C),LU2037749822,Solactive Smart Factory,Japan,15
Amundi Smart Factory UCITS ETF - EUR (C),LU2037749822,Solactive Smart Factory,France,10
Amundi Smart Factory UCITS ETF - EUR (C),LU2037749822,Solactive Smart Factory,Other,5

Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,LU0290358497,Solactive €STR +8.5 Daily,Eurozone,100

Amundi ETF STOXX Europe 50 UCITS ETF EUR (C),FR0010790980,STOXX Europe 50,France,30
Amundi ETF STOXX Europe 50 UCITS ETF EUR (C),FR0010790980,STOXX Europe 50,Germany,25
Amundi ETF STOXX Europe 50 UCITS ETF EUR (C),FR0010790980,STOXX Europe 50,Netherlands,10
Amundi ETF STOXX Europe 50 UCITS ETF EUR (C),FR0010790980,STOXX Europe 50,Spain,10
